date,Mkt-RF,SMB,HML,RF
198403,    0.63,    0.07,    0.47,    0.73
198404,   -0.51,   -1.16,    1.19,    0.81
198405,   -5.97,    0.07,    0.29,    0.78
198406,    1.82,   -0.31,   -2.66,    0.75
198407,   -2.74,   -2.21,    0.33,    0.82
198408,   10.28,   -0.24,   -1.80,    0.83
198409,   -0.80,    0.18,    5.23,    0.86
198410,   -0.84,   -1.23,    0.47,    1.00
198411,   -1.76,   -0.63,    4.04,    0.73
198412,    1.84,   -0.56,   -0.25,    0.64
198501,    7.99,    3.30,   -5.33,    0.65
198502,    1.22,    0.80,   -0.10,    0.58
198503,   -0.84,   -1.07,    4.07,    0.62
198504,   -0.96,    0.15,    3.72,    0.72
198505,    5.09,   -2.22,   -0.94,    0.66
198506,    1.27,    0.56,    0.47,    0.55
198507,   -0.74,    2.85,   -1.60,    0.62
198508,   -1.02,   -0.31,    2.28,    0.55
198509,   -4.54,   -1.59,    1.29,    0.60
198510,    4.02,   -1.51,    0.75,    0.65
198511,    6.48,    0.25,   -2.84,    0.61
198512,    3.88,   -0.51,   -1.54,    0.65
198601,    0.65,    1.21,    0.44,    0.56
198602,    7.13,   -0.56,   -0.77,    0.53
198603,    4.88,   -0.58,   -0.37,    0.60
198604,   -1.31,    2.78,   -2.86,    0.52
198605,    4.62,   -1.35,   -0.21,    0.49
198606,    1.03,   -0.95,    1.30,    0.52
198607,   -6.45,   -3.36,    4.70,    0.52
198608,    6.07,   -4.17,    3.51,    0.46
198609,   -8.60,    2.36,    3.22,    0.45
198610,    4.66,   -2.50,   -1.42,    0.46
198611,    1.17,   -1.91,   -0.07,    0.39
198612,   -3.27,    0.13,    0.36,    0.49
198701,   12.47,   -1.81,   -3.16,    0.42
198702,    4.39,    3.49,   -5.91,    0.43
198703,    1.64,    0.45,    1.61,    0.47
198704,   -2.11,   -1.69,   -0.39,    0.44
198705,    0.11,   -0.50,    0.23,    0.38
198706,    3.94,   -2.12,    1.04,    0.48
198707,    3.85,   -0.66,    0.73,    0.46
198708,    3.52,   -0.77,   -0.95,    0.47
198709,   -2.59,    0.56,    0.30,    0.45
198710,  -23.24,   -8.40,    4.23,    0.60
198711,   -7.77,    2.75,    2.96,    0.35
198712,    6.81,    0.12,   -4.39,    0.39
198801,    4.21,   -0.76,    4.95,    0.29
198802,    4.75,    3.34,   -1.69,    0.46
198803,   -2.27,    6.14,    0.74,    0.44
198804,    0.56,    0.98,    1.63,    0.46
198805,   -0.29,   -2.61,    2.42,    0.51
198806,    4.79,    2.10,   -1.22,    0.49
198807,   -1.25,   -0.26,    2.17,    0.51
198808,   -3.31,    0.04,    2.10,    0.59
198809,    3.30,   -1.30,   -0.75,    0.62
198810,    1.15,   -2.92,    1.69,    0.61
198811,   -2.29,   -1.71,    1.30,    0.57
198812,    1.49,    1.97,   -1.61,    0.63
198901,    6.10,   -2.22,    0.62,    0.55
198902,   -2.25,    2.82,    0.93,    0.61
198903,    1.57,    0.67,    0.54,    0.67
198904,    4.33,   -0.68,   -1.40,    0.67
198905,    3.35,   -0.05,   -0.87,    0.79
198906,   -1.35,   -1.02,    2.23,    0.71
198907,    7.20,   -4.16,   -2.79,    0.70
198908,    1.44,    0.56,    0.60,    0.74
198909,   -0.76,    0.32,   -1.27,    0.65
198910,   -3.67,   -3.24,   -1.11,    0.68
198911,    1.03,   -1.24,   -1.09,    0.69
198912,    1.16,   -2.37,    0.16,    0.61
199001,   -7.85,   -1.25,    0.85,    0.57
199002,    1.11,    0.97,    0.64,    0.57
199003,    1.83,    1.46,   -2.92,    0.64
199004,   -3.36,   -0.45,   -2.59,    0.69
199005,    8.42,   -2.56,   -3.83,    0.68
199006,   -1.09,    1.36,   -1.93,    0.63
199007,   -1.90,   -3.09,   -0.04,    0.68
199008,  -10.15,   -3.56,    1.60,    0.66
199009,   -6.12,   -3.67,    0.61,    0.60
199010,   -1.92,   -5.53,    0.00,    0.68
199011,    6.35,    0.45,   -2.97,    0.57
199012,    2.46,    0.82,   -1.63,    0.60
199101,    4.69,    3.83,   -1.57,    0.52
199102,    7.19,    3.99,   -0.63,    0.48
199103,    2.65,    3.90,   -1.30,    0.44
199104,   -0.28,    0.48,    1.45,    0.53
199105,    3.65,   -0.40,   -0.49,    0.47
199106,   -4.94,    0.15,    1.07,    0.42
199107,    4.24,   -0.91,   -1.32,    0.49
199108,    2.32,    1.59,   -0.78,    0.46
199109,   -1.59,    1.64,   -1.07,    0.46
199110,    1.29,    0.81,   -0.46,    0.42
199111,   -4.19,   -0.50,   -1.88,    0.39
199112,   10.84,   -2.24,   -4.18,    0.38
199201,   -0.59,    8.46,    4.70,    0.34
199202,    1.09,    0.87,    6.47,    0.28
199203,   -2.66,   -1.04,    3.55,    0.34
199204,    1.07,   -6.06,    4.32,    0.32
199205,    0.30,    0.41,    1.19,    0.28
199206,   -2.34,   -3.07,    3.25,    0.32
199207,    3.77,   -0.51,   -0.55,    0.31
199208,   -2.38,   -0.14,   -1.08,    0.26
199209,    1.19,    0.49,   -0.23,    0.26
199210,    1.02,    2.10,   -1.98,    0.23
199211,    4.13,    3.79,   -1.42,    0.23
199212,    1.53,    1.67,    2.65,    0.28
199301,    0.93,    1.85,    5.95,    0.23
199302,    0.12,   -3.49,    6.44,    0.22
199303,    2.30,    0.23,    1.19,    0.25
199304,   -3.05,   -0.68,    2.48,    0.24
199305,    2.89,    2.08,   -3.50,    0.22
199306,    0.31,   -0.26,    2.72,    0.25
199307,   -0.34,    0.90,    2.82,    0.24
199308,    3.71,    0.14,    0.14,    0.25
199309,   -0.12,    2.98,   -0.35,    0.26
199310,    1.41,    2.03,   -2.78,    0.22
199311,   -1.89,   -1.13,   -0.66,    0.25
199312,    1.65,    1.20,    0.27,    0.23
199401,    2.87,    0.51,    1.28,    0.25
199402,   -2.55,    2.80,   -1.56,    0.21
199403,   -4.78,   -1.14,    1.55,    0.27
199404,    0.68,   -0.92,    1.66,    0.27
199405,    0.58,   -2.12,    0.70,    0.31
199406,   -3.03,   -0.40,    1.67,    0.31
199407,    2.82,   -1.76,    0.57,    0.28
199408,    4.01,    1.43,   -2.50,    0.37
199409,   -2.31,    3.11,   -1.84,    0.37
199410,    1.34,   -2.26,   -1.63,    0.38
199411,   -4.04,    0.31,   -0.73,    0.37
199412,    0.86,    0.19,   -0.09,    0.44
199501,    1.80,   -3.44,    2.51,    0.42
199502,    3.63,   -0.66,    1.09,    0.40
199503,    2.19,   -0.21,   -2.08,    0.46
199504,    2.11,   -0.49,    1.70,    0.44
199505,    2.90,   -2.52,    2.27,    0.54
199506,    2.72,    3.15,   -2.54,    0.47
199507,    3.72,    2.06,   -1.59,    0.45
199508,    0.55,    1.36,    2.81,    0.47
199509,    3.35,   -2.20,   -0.05,    0.43
199510,   -1.52,   -3.80,   -0.51,    0.47
199511,    3.96,   -1.11,    0.58,    0.42
199512,    1.03,    0.72,    0.18,    0.49
199601,    2.26,   -2.73,    0.40,    0.43
199602,    1.33,    1.78,   -1.07,    0.39
199603,    0.73,    1.51,    0.36,    0.39
199604,    2.06,    5.22,   -4.05,    0.46
199605,    2.36,    3.18,   -0.89,    0.42
199606,   -1.14,   -3.99,    2.38,    0.40
199607,   -5.97,   -4.31,    5.14,    0.45
199608,    2.77,    2.46,   -0.74,    0.41
199609,    5.01,   -0.98,   -2.70,    0.44
199610,    0.86,   -4.44,    4.94,    0.42
199611,    6.25,   -4.05,    1.39,    0.41
199612,   -1.70,    3.17,    1.32,    0.46
199701,    4.98,   -1.93,   -1.46,    0.45
199702,   -0.49,   -3.20,    5.69,    0.39
199703,   -5.02,   -0.35,    3.40,    0.43
199704,    4.04,   -5.78,    0.07,    0.43
199705,    6.74,    5.19,   -4.12,    0.49
199706,    4.10,    1.24,    1.59,    0.37
199707,    7.33,   -2.73,    0.29,    0.43
199708,   -4.15,    7.31,    1.20,    0.41
199709,    5.35,    2.53,    0.38,    0.44
199710,   -3.80,   -0.77,    2.25,    0.42
199711,    2.98,   -5.13,    1.19,    0.39
199712,    1.32,   -2.47,    3.86,    0.48
199801,    0.15,   -1.06,   -1.59,    0.43
199802,    7.04,    0.34,   -0.85,    0.39
199803,    4.76,   -1.11,    1.41,    0.39
199804,    0.73,    0.02,    0.90,    0.43
199805,   -3.07,   -3.35,    3.40,    0.40
199806,    3.18,   -3.23,   -1.96,    0.41
199807,   -2.46,   -4.91,   -1.76,    0.40
199808,  -16.08,   -5.68,    3.60,    0.43
199809,    6.15,    0.10,   -3.37,    0.46
199810,    7.13,   -3.12,   -2.29,    0.32
199811,    6.10,    1.20,   -3.23,    0.31
199812,    6.16,   -0.51,   -4.18,    0.38
199901,    3.50,    0.78,   -4.62,    0.35
199902,   -4.08,   -6.06,    1.88,    0.35
199903,    3.45,   -3.77,   -2.77,    0.43
199904,    4.33,    3.95,    2.41,    0.37
199905,   -2.46,    3.37,    2.30,    0.34
199906,    4.77,    3.14,   -3.26,    0.40
199907,   -3.49,    2.60,   -0.42,    0.38
199908,   -1.38,   -0.94,   -1.84,    0.39
199909,   -2.79,    3.44,   -3.48,    0.39
199910,    6.12,   -6.61,   -3.37,    0.39
199911,    3.37,    7.22,   -6.16,    0.36
199912,    7.72,    6.99,   -8.32,    0.44
200001,   -4.74,    5.79,   -1.89,    0.41
200002,    2.45,   21.48,   -9.81,    0.43
200003,    5.20,  -17.29,    8.23,    0.47
200004,   -6.40,   -6.63,    7.25,    0.46
200005,   -4.42,   -6.11,    4.83,    0.50
200006,    4.64,   12.80,   -8.41,    0.40
200007,   -2.51,   -3.08,    8.33,    0.48
200008,    7.03,   -0.63,   -1.37,    0.50
200009,   -5.45,   -1.73,    7.17,    0.51
200010,   -2.76,   -3.93,    5.64,    0.56
200011,  -10.72,   -3.39,   12.34,    0.51
200012,    1.19,    0.73,    7.60,    0.50
200101,    3.13,    6.68,   -5.11,    0.54
200102,  -10.05,   -0.74,   12.48,    0.38
200103,   -7.26,    0.27,    6.43,    0.42
200104,    7.94,    0.56,   -4.69,    0.39
200105,    0.72,    2.50,    3.36,    0.32
200106,   -1.94,    6.27,   -1.13,    0.28
200107,   -2.13,   -4.19,    5.21,    0.30
200108,   -6.46,    2.48,    2.30,    0.31
200109,   -9.25,   -6.25,    1.46,    0.28
200110,    2.46,    7.49,   -7.66,    0.22
200111,    7.54,   -0.47,    2.22,    0.17
200112,    1.60,    4.73,    0.85,    0.15
200201,   -1.44,    1.19,    3.44,    0.14
200202,   -2.29,   -1.00,    2.16,    0.13
200203,    4.24,    4.21,    1.06,    0.13
200204,   -5.20,    5.96,    3.88,    0.15
200205,   -1.38,   -3.21,    1.53,    0.14
200206,   -7.21,    4.28,   -0.03,    0.13
200207,   -8.18,   -5.26,   -3.87,    0.15
200208,    0.50,   -2.87,    3.31,    0.14
200209,  -10.35,    2.43,    1.44,    0.14
200210,    7.84,   -3.41,   -3.95,    0.14
200211,    5.96,    3.23,   -1.27,    0.12
200212,   -5.76,    0.11,    2.13,    0.11
200301,   -2.57,    1.30,   -0.73,    0.10
200302,   -1.88,   -0.46,   -1.38,    0.09
200303,    1.09,    1.04,   -1.93,    0.10
200304,    8.22,    0.67,    1.17,    0.10
200305,    6.05,    4.71,    0.53,    0.09
200306,    1.42,    1.74,    0.19,    0.10
200307,    2.35,    5.11,   -1.19,    0.07
200308,    2.34,    2.62,    1.54,    0.07
200309,   -1.24,    0.80,    0.10,    0.08
200310,    6.08,    2.63,    1.92,    0.07
200311,    1.35,    2.00,    1.81,    0.07
200312,    4.29,   -2.71,    1.60,    0.08
200401,    2.15,    2.54,    2.46,    0.07
200402,    1.40,   -1.52,    0.87,    0.06
200403,   -1.32,    1.75,    0.23,    0.09
200404,   -1.83,   -1.74,   -3.02,    0.08
200405,    1.17,   -0.25,   -0.23,    0.06
200406,    1.86,    2.28,    1.23,    0.08
200407,   -4.06,   -3.80,    3.22,    0.10
200408,    0.08,   -1.49,    1.00,    0.11
200409,    1.60,    3.02,   -0.02,    0.11
200410,    1.43,    0.15,   -0.25,    0.11
200411,    4.54,    3.73,    1.45,    0.15
200412,    3.43,   -0.03,   -0.21,    0.16
200501,   -2.76,   -1.72,    2.07,    0.16
200502,    1.89,   -0.57,    1.54,    0.16
200503,   -1.97,   -1.40,    2.05,    0.21
200504,   -2.61,   -3.93,    0.05,    0.21
